Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
"33010DO007_2009 Births, Australia, 2009",,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Wed 3 Nov 2010,,,,,,,,,,,,,,,,,,
"Table 7.1 Births, Country of birth of mother–2009",,,,,,,,,,,,,,,,,,
,,,AGE–SPECIFIC FERTILITY RATE,,,,,,,,,FATHER BORN IN,,,NUPTIALITY,,,
,Total births,Estimated resident female population,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Total confinements,Australia,Same overseas country as mother,Other country,Nuptial,Ex-nuptial,Median age of mother,
Country of birth of mother,no.,no.,rate,rate,rate,rate,rate,rate,rate,rate,no.,%,%,%,%,%,years,
Montenegro,20,281,40.0,74.1,156.9,225.2,117.6,16.1,0.0,3.15,20,50.0,15.0,35.0,90.0,10.0,32.5,
Serbia,290,"8,672",11.3,52.1,92.7,93.7,50.6,9.9,0.3,1.55,285,38.5,29.7,31.8,88.4,11.6,30.6,
Ukraine,195,"3,428",2.5,41.7,119.5,114.4,81.4,11.8,0.6,1.86,192,23.8,38.4,37.8,84.9,15.1,32.2,
Other,328,"5,093",11.8,74.2,105.6,120.6,69.0,14.9,1.3,1.99,323,35.3,38.8,25.9,82.7,17.3,31.2,
North Africa and the Middle East,"7,587","90,024",30.2,139.9,176.3,150.6,78.8,19.6,1.1,2.98,"7,469",17.9,69.1,12.9,89.3,10.7,29.0,
Egypt,349,"6,046",4.9,64.3,182.0,129.3,58.4,10.9,1.2,2.26,343,19.3,67.5,13.2,95.9,4.1,29.5,
Iran,396,"9,554",5.0,29.3,56.2,89.9,68.7,13.3,1.2,1.32,394,14.5,65.0,20.6,95.7,4.3,31.7,
Iraq,"1,565","15,385",15.2,151.2,207.1,176.0,117.0,35.7,2.7,3.52,"1,534",1.8,91.2,7.0,94.7,5.3,29.1,
Israel,200,"2,683",3.8,23.1,97.2,192.1,96.6,20.1,0.0,2.16,198,37.1,44.2,18.8,94.9,5.1,32.6,
Lebanon,"1,931","24,141",84.0,209.7,200.2,140.2,68.7,17.2,0.6,3.60,"1,906",38.9,54.8,6.3,94.6,5.4,28.8,
Syria,269,"2,705",104.4,202.2,211.9,159.2,79.4,23.0,0.0,3.90,262,26.9,31.5,41.5,93.9,6.1,28.1,
Turkey,542,"11,935",25.9,113.2,117.7,92.9,41.9,11.8,1.1,2.02,528,28.5,62.7,8.7,93.8,6.3,30.4,
Other,"2,335","17,575",38.0,151.4,227.5,219.0,128.1,32.5,1.9,3.99,"2,304",6.2,75.4,18.4,77.1,22.9,27.9,
South-East Asia,"14,320","280,529",7.0,33.8,91.6,116.3,67.3,15.5,0.9,1.66,"14,166",27.3,52.6,20.1,81.5,18.5,31.8,
Burma (Myanmar),450,"5,974",11.7,74.9,127.7,124.4,87.6,19.1,1.5,2.23,444,6.6,85.8,7.6,90.3,9.7,30.7,
Cambodia,727,"10,900",18.5,113.7,136.4,130.3,59.0,19.7,1.1,2.39,718,15.9,60.9,23.2,78.4,21.6,29.9,
Indonesia,"1,598","27,953",2.6,21.5,107.5,124.8,68.6,14.5,0.9,1.70,"1,581",23.3,54.6,22.1,94.8,5.2,30.7,
Laos,221,"3,841",50.7,98.5,112.8,122.1,68.0,11.7,1.3,2.33,216,32.0,38.8,29.1,72.7,27.3,33.3,
Malaysia,"1,548","44,177",1.3,6.1,49.3,116.4,77.7,15.0,0.6,1.33,"1,529",29.9,38.3,31.8,90.9,9.1,32.7,
Philippines,"3,446","65,586",12.0,53.8,98.6,110.1,66.2,16.1,0.7,1.79,"3,417",39.7,44.6,15.7,80.5,19.5,31.9,
Singapore,641,"19,592",0.5,4.6,49.8,114.9,75.2,16.7,1.1,1.31,627,40.2,25.2,34.6,90.1,9.9,33.4,
Thailand,"1,188","24,974",13.0,40.4,59.7,88.4,60.5,14.3,0.9,1.39,"1,177",52.4,15.8,31.8,75.0,25.0,31.1,
Viet Nam,"4,296","72,991",8.4,56.9,119.9,123.8,64.1,14.7,1.1,1.94,"4,253",12.1,75.2,12.7,74.4,25.6,31.8,
Other,205,"4,541",8.2,22.9,91.5,120.5,69.8,15.5,0.0,1.64,204,27.2,42.1,30.7,83.8,16.2,33.1,
North-East Asia,"8,807","252,013",1.1,8.8,50.8,111.1,68.1,13.5,0.9,1.27,"8,720",18.8,62.0,19.2,91.0,9.0,32.2,
China,"4,981","139,257",1.4,10.2,60.8,116.2,64.7,12.9,1.2,1.34,"4,933",9.8,75.9,14.3,89.8,10.2,31.5,
Hong Kong,761,"30,046",0.7,5.0,33.5,97.9,70.8,12.4,0.6,1.10,750,26.1,35.5,38.3,91.9,8.1,32.8,
Japan,"1,217","26,122",1.1,10.8,51.6,106.8,92.0,26.7,1.3,1.45,"1,202",53.3,18.1,28.6,91.8,8.2,33.9,
Korea Republic of (South),"1,370","39,463",0.6,8.1,42.1,116.4,61.9,7.4,0.6,1.19,"1,360",16.5,70.6,12.8,93.4,6.6,32.3,
Other,478,"17,125",0.7,3.4,30.5,98.1,55.3,11.7,0.0,1.00,475,18.6,47.0,34.3,92.8,7.2,32.4,
Southern and Central Asia,"11,256","150,418",6.0,59.4,120.4,126.7,59.6,11.8,1.0,1.92,"11,135",4.1,90.3,5.6,97.4,2.6,29.2,
India,"6,626","89,912",4.0,49.8,112.9,116.2,46.7,7.8,0.5,1.69,"6,549",3.1,93.0,3.9,98.4,1.6,28.9,
Pakistan,"1,085","7,951",16.6,183.5,234.2,178.6,93.5,22.1,0.5,3.65,"1,080",3.6,84.7,11.7,98.4,1.6,28.5,
Sri Lanka,"1,367","25,250",1.3,22.7,94.6,132.4,72.1,13.3,0.6,1.69,"1,347",11.3,80.8,7.9,95.6,4.4,31.9,
Other,"2,178","27,305",9.8,77.3,132.9,140.1,75.0,21.0,3.8,2.30,"2,159",2.8,90.7,6.4,95.0,5.0,28.9,
Americas,"4,199","75,633",5.5,29.5,67.1,123.1,89.4,20.3,1.1,1.68,"4,125",56.3,20.1,23.7,80.7,19.3,32.8,
Argentina,227,"3,737",0.0,30.9,80.0,122.3,91.7,15.4,0.0,1.70,221,52.1,21.5,26.5,77.8,22.2,33.9,
Canada,899,"14,963",4.2,20.0,59.0,139.3,102.3,22.0,1.1,1.74,880,73.2,8.1,18.8,80.9,19.1,33.2,
Caribbean,72,"1,251",0.0,26.9,70.3,122.4,91.0,22.1,0.0,1.66,69,58.2,9.0,32.8,79.7,20.3,34.8,
Central America,334,"5,695",14.9,52.7,83.1,113.5,74.6,17.6,0.0,1.78,329,41.7,26.2,32.1,74.8,25.2,30.8,
Chile,377,"7,891",14.2,51.3,95.9,115.5,70.6,15.7,0.7,1.82,369,43.6,28.8,27.7,71.5,28.5,32.5,
United States of America,"1,337","23,519",4.1,26.4,81.7,138.7,95.5,22.2,1.7,1.85,"1,314",64.3,14.0,21.7,84.5,15.5,32.8,
Uruguay,77,"2,244",0.0,57.5,87.8,103.6,60.8,11.1,0.7,1.61,75,63.9,12.5,23.6,72.0,28.0,35.6,
Other,876,"16,333",5.3,24.6,44.4,101.5,92.9,25.0,1.7,1.48,868,37.8,36.8,25.4,82.4,17.6,32.4,
Sub-Saharan Africa,"5,335","85,525",13.0,49.7,111.0,149.5,82.5,15.6,0.9,2.11,"5,244",25.6,52.8,21.7,78.9,21.1,31.9,
Kenya,200,"3,895",7.0,22.5,68.2,110.9,83.5,14.8,0.5,1.54,196,23.2,32.0,44.8,80.6,19.4,31.2,
Mauritius,263,"6,974",3.5,19.6,70.6,100.4,63.5,12.6,0.5,1.35,262,31.9,50.0,18.1,85.5,14.5,31.0,
South Africa,"2,322","45,207",5.2,27.0,93.9,138.8,72.1,11.6,0.5,1.75,"2,275",37.8,42.3,19.9,86.3,13.7,32.9,
Zimbabwe,557,"10,140",5.1,28.5,100.5,127.8,77.2,12.4,0.2,1.76,548,28.5,49.8,21.7,80.1,19.9,32.3,
Other,"1,993","19,309",38.0,117.6,174.3,204.6,115.6,29.8,2.9,3.41,"1,963",9.1,69.1,21.9,68.9,31.1,30.4,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2010,,,,,,,,,,,,,,,,,,
