hash,temp
19/3/18 8:23,29.1
19/3/18 8:33,29.13
19/3/18 8:43,29.26
19/3/18 8:53,29.56
19/3/18 9:03,29.6
19/3/18 9:13,30.2
19/3/18 9:23,30.43
19/3/18 9:33,30.83
19/3/18 9:43,30.23
19/3/18 9:53,31.07
19/3/18 10:03,31.03
19/3/18 10:13,31.53
19/3/18 10:23,31.63
19/3/18 10:33,31.8
19/3/18 10:43,32.03
19/3/18 10:53,31.87
19/3/18 11:03,32.1
19/3/18 11:13,31.9
19/3/18 11:23,32.36
19/3/18 11:33,32
19/3/18 11:43,32.33
19/3/18 11:53,33.06
19/3/18 12:03,33.3
19/3/18 12:13,33.16
19/3/18 12:23,33
19/3/18 12:33,33.2
19/3/18 12:43,33.47
19/3/18 12:53,34.03
19/3/18 13:03,33.73
19/3/18 13:13,33.3
19/3/18 13:23,33.63
19/3/18 13:33,33.43
19/3/18 13:43,33.23
19/3/18 13:53,33.4
19/3/18 14:03,33.23
19/3/18 14:13,33.13
19/3/18 14:23,33.2
19/3/18 14:33,33.8
19/3/18 14:43,33.33
19/3/18 14:53,33.8
19/3/18 15:03,33.53
19/3/18 15:13,33
19/3/18 15:23,32.86
19/3/18 15:33,32.6
19/3/18 15:43,32.53
19/3/18 15:53,32.06
19/3/18 16:03,32
19/3/18 16:13,32.03
19/3/18 16:23,32.37
19/3/18 16:33,32.1
19/3/18 16:43,32
19/3/18 16:53,31.97
19/3/18 17:03,31.83
19/3/18 17:13,31.73
19/3/18 17:23,31.53
19/3/18 17:33,31.4
19/3/18 17:43,31.2
19/3/18 17:53,31.03
19/3/18 18:03,31
19/3/18 18:13,30.86
19/3/18 18:23,30.96
19/3/18 18:33,30.7
19/3/18 18:43,30.67
19/3/18 18:53,30.57
19/3/18 19:03,30.46
19/3/18 19:13,30.33
19/3/18 19:23,30.3
19/3/18 19:33,30.3
19/3/18 19:43,30.3
19/3/18 19:53,30.33
19/3/18 20:03,30.3
19/3/18 20:13,30.33
19/3/18 20:23,30.37
19/3/18 20:33,30.3
19/3/18 20:43,30.3
19/3/18 20:53,30.3
19/3/18 21:03,30.33
19/3/18 21:13,30.4
19/3/18 21:23,30.36
19/3/18 21:33,30.36
19/3/18 21:43,30.33
19/3/18 21:53,30.26
19/3/18 22:03,30.3
19/3/18 22:13,30.43
19/3/18 22:23,30.3
19/3/18 22:33,30.4
19/3/18 22:43,30.23
19/3/18 22:53,30.4
19/3/18 23:03,30.37
19/3/18 23:13,30.37
19/3/18 23:23,30.27
19/3/18 23:33,30.13
19/3/18 23:43,30.2
19/3/18 23:53,30.13
20/3/18 0:03,30.1
20/3/18 0:13,30.1
20/3/18 0:23,30
20/3/18 0:33,30
20/3/18 0:43,30
20/3/18 0:53,30.03
20/3/18 1:03,30.03
20/3/18 1:13,30.03
20/3/18 1:23,29.9
20/3/18 1:33,29.8
20/3/18 1:43,29.67
20/3/18 1:53,29.6
20/3/18 2:03,29.5
20/3/18 2:13,29.33
20/3/18 2:23,29.33
20/3/18 2:33,29.3
20/3/18 2:43,29.33
20/3/18 2:53,29.3
20/3/18 3:03,29.23
20/3/18 3:13,29.1
20/3/18 3:23,29.13
20/3/18 3:33,29.03
20/3/18 3:43,28.83
20/3/18 3:53,29.1
20/3/18 4:03,29.23
20/3/18 4:13,29.16
20/3/18 4:23,28.93
20/3/18 4:33,28.76
20/3/18 4:43,28.8
20/3/18 4:53,28.43
20/3/18 5:03,28.4
20/3/18 5:13,28.3
20/3/18 5:23,28.43
20/3/18 5:33,28.33
20/3/18 5:43,28.3
20/3/18 5:53,28.36
20/3/18 6:03,28.23
20/3/18 6:13,28.1
20/3/18 6:23,28.03
20/3/18 6:33,27.93
20/3/18 6:43,27.83
20/3/18 6:53,28.43
20/3/18 7:03,28.8
20/3/18 7:13,29.1
20/3/18 7:23,29.3
20/3/18 7:33,29.6
20/3/18 7:43,29.53
20/3/18 7:53,29.73
20/3/18 8:03,29.6
20/3/18 8:13,29.46
20/3/18 8:23,29.5
20/3/18 8:33,29.57
20/3/18 8:43,29.57
20/3/18 8:53,29.73
20/3/18 9:03,29.8
20/3/18 9:13,29.8
20/3/18 9:23,30.07
20/3/18 9:33,30.1
20/3/18 9:43,30.06
20/3/18 9:53,30.16
20/3/18 10:03,30.16
20/3/18 10:13,30.63
20/3/18 10:23,30.93
20/3/18 10:33,30.97
20/3/18 10:43,31.2
20/3/18 10:53,31.2
20/3/18 11:03,31.53
20/3/18 11:13,31.67
20/3/18 11:23,31.5
20/3/18 11:33,32.17
20/3/18 11:43,32.06
20/3/18 11:53,32.03
20/3/18 12:03,32.36
20/3/18 12:13,32.6
20/3/18 12:23,32.37
20/3/18 12:33,32.33
20/3/18 12:43,32.17
20/3/18 12:53,31.83
20/3/18 13:03,32.06
20/3/18 13:13,32.1
20/3/18 13:23,32.36
20/3/18 13:33,32.37
20/3/18 13:43,32.77
20/3/18 13:53,32.3
20/3/18 14:03,32.97
20/3/18 14:13,32.83
20/3/18 14:23,32.47
20/3/18 14:33,32.5
20/3/18 14:43,32.2
20/3/18 14:53,32.7
20/3/18 15:03,31.93
20/3/18 15:13,31.73
20/3/18 15:23,31.63
20/3/18 15:33,31.33
20/3/18 15:43,31.4
20/3/18 15:53,31.4
20/3/18 16:03,31.2
20/3/18 16:13,30.93
20/3/18 16:23,30.77
20/3/18 16:33,30.7
20/3/18 16:43,30.73
20/3/18 16:53,30.73
20/3/18 17:03,30.6
20/3/18 17:13,30.67
20/3/18 17:23,30.47
20/3/18 17:33,30.33
20/3/18 17:43,30.3
20/3/18 17:53,30.16
20/3/18 18:03,30
20/3/18 18:13,29.97
20/3/18 18:23,29.83
